Группа каталога,Тип локации,Регион,Город / кластер,АО Москвы,Район / локация,ЖК,Застройщик,Ссылка на чат,Ссылка исходная,Листы-источники,Строки-источники,Тип списка,Уверенность,Комментарий,slug_chat,slug_group,slug_region,slug_city_cluster,slug_district
Активдевелопмент,Москва,Москва,Москва,СЗАО,Щукино,ЖК Интонация,Активдевелопмент,https://t.me/JKIntonaciya,https://t.me/JKIntonaciya,Москва чаты,Москва чаты:37,main,high,,zhk-intonatsiya,aktivdevelopment,moskva,moskva,schukino
Алгоритм Девелопмент,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Сертолово парк""",Алгоритм Девелопмент,https://t.me/JKSertolovoparkSosedi,https://t.me/JKSertolovoparkSosedi,Питер чаты,Питер чаты:76,main,high,,zhk-sertolovo-park,algoritm-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Альпика Групп,Другой город/регион,Краснодарский край,Сочи,,,ЖК OLIVIA,Альпика Групп,https://t.me/JKOLIVIASosedi2,https://t.me/JKOLIVIASosedi2,Сочи чаты,Сочи чаты:9,main,high,,zhk-olivia,al-pika-grupp,krasnodarskiy-kray,sochi,
Альфа,Москва,Москва,Москва,ЮАО,Нагатино-Садовники,ЖК «Первый Нагатинский»,Альфа,https://t.me/JK1YNagatinskiy,https://t.me/JK1YNagatinskiy,Москва чаты,Москва чаты:126,main,high,,zhk-pervyy-nagatinskiy,al-fa,moskva,moskva,nagatino-sadovniki
Альфа Проджект,Московская область,Московская область,Балашиха,,мкр. Гагарина,ЖК Идеал,Альфа Проджект,https://t.me/jkIdealChat,https://t.me/jkIdealChat,Москва чаты,Москва чаты:172,main,high,,zhk-ideal,al-fa-prodzhekt,moskovskaya-oblast,balashiha,mkr-gagarina
Арго-Инвест,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Кировский посад""",Арго-Инвест,https://t.me/JKKirovskiposadSosedi,https://t.me/JKKirovskiposadSosedi,Питер чаты,Питер чаты:46,main,high,,zhk-kirovskiy-posad,argo-invest,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Астон,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Астон.Геометрия,Астон,https://t.me/JKAstonGeometry,https://t.me/JKAstonGeometry,Новосибирск чаты,Новосибирск чаты:76,main,high,,zhk-aston-geometriya,aston,novosibirskaya-oblast,novosibirsk,
Астон,Другой город/регион,Свердловская область,Екатеринбург,,,Астон. Движение,Астон,https://t.me/JKAstonDvizh,https://t.me/JKAstonDvizh,Екатеринбург чаты,Екатеринбург чаты:19,main,high,,aston-dvizhenie,aston,sverdlovskaya-oblast,ekaterinburg,
Астон,Другой город/регион,Свердловская область,Екатеринбург,,,Астон. Отрадный,Астон,https://t.me/JKAstonOtrad,https://t.me/JKAstonOtrad,Екатеринбург чаты,Екатеринбург чаты:9,main,high,,aston-otradnyy,aston,sverdlovskaya-oblast,ekaterinburg,
Астра,Другой город/регион,Свердловская область,Екатеринбург,,,1:1,Астра,https://t.me/JK11Zhiteli,https://t.me/JK11Zhiteli,Екатеринбург чаты,Екатеринбург чаты:58,main,high,,1-1,astra,sverdlovskaya-oblast,ekaterinburg,
Астра,Другой город/регион,Свердловская область,Екатеринбург,,,Новация,Астра,https://t.me/JKNovaciya,https://t.me/JKNovaciya,Екатеринбург чаты,Екатеринбург чаты:36,main,high,,novatsiya,astra,sverdlovskaya-oblast,ekaterinburg,
Атомстройкомплекс,Другой город/регион,Свердловская область,Екатеринбург,,,Северное сияние,Атомстройкомплекс,https://t.me/JKSevernoesiyanie,https://t.me/JKSevernoesiyanie,Екатеринбург чаты,Екатеринбург чаты:61,main,high,,severnoe-siyanie,atomstroikompleks,sverdlovskaya-oblast,ekaterinburg,
"БОЛОТНАЯ, 9",Москва,Москва,Москва,ЦАО,Якиманка,ЖК Первый на Красном,"БОЛОТНАЯ, 9",https://t.me/ZhKPervyynaKrasnomSosedi,https://t.me/ZhKPervyynaKrasnomSosedi,Москва чаты,Москва чаты:195,main,high,,zhk-pervyy-na-krasnom,bolotnaia-9,moskva,moskva,yakimanka
БРИЗ,Другой город/регион,Республика Татарстан,Казань,,,ЖК Каштан,БРИЗ,https://t.me/JKKashtanDolchiki,https://t.me/JKKashtanDolchiki,Казань чаты,Казань чаты:3; Казань чаты:74,main,high,,zhk-kashtan,briz,respublika-tatarstan,kazan,
БРИЗ,Другой город/регион,Республика Татарстан,Казань,,,ЖК по ул Кул Гали,БРИЗ,https://t.me/JKKulGali10bDolchiki,https://t.me/JKKulGali10bDolchiki,Казань чаты,Казань чаты:19; Казань чаты:90,main,high,,zhk-po-ul-kul-gali,briz,respublika-tatarstan,kazan,
БФА-Девелопмент,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Огни Залива""",БФА-Девелопмент,https://t.me/JKOgniZalivaS,https://t.me/JKOgniZalivaS,Питер чаты,Питер чаты:100,main,high,,zhk-ogni-zaliva,bfa-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Балтийская коммерция,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Квадрия""",Балтийская коммерция,https://t.me/JKKvadriyaSosedi,https://t.me/JKKvadriyaSosedi,Питер чаты,Питер чаты:89,main,high,,zhk-kvadriya,baltiiskaia-kommertsiia,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Береговое-Инвест,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Марсель 2,Береговое-Инвест,https://t.me/JKMarseli2,https://t.me/JKMarseli2,Новосибирск чаты,Новосибирск чаты:107,main,high,,zhk-marsel-2,beregovoe-invest,novosibirskaya-oblast,novosibirsk,
Берзарина 37,Москва,Москва,Москва,СЗАО,Хорошёво-Мнёвники,ЖК «Серебряный бор»,Берзарина 37,https://t.me/JKSerBorS,https://t.me/JKSerBorS,Москва чаты,Москва чаты:239,main,high,,zhk-serebryanyy-bor,berzarina-37,moskva,moskva,horoshevo-mnevniki
Библиосити,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Авторский квартал,Библиосити,https://t.me/JKAvtorskiykvvartalJiltsi,https://t.me/JKAvtorskiykvvartalJiltsi,Новосибирск чаты,Новосибирск чаты:44,main,high,,zhk-avtorskiy-kvartal,bibliositi,novosibirskaya-oblast,novosibirsk,
Благовещенка,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Благовещенка,Благовещенка,https://t.me/JKBlagoveschenkaJiiltsi,https://t.me/JKBlagoveschenkaJiiltsi,Новосибирск чаты,Новосибирск чаты:20,main,high,,zhk-blagoveschenka,blagoveshchenka,novosibirskaya-oblast,novosibirsk,
Брусника,Москва,Москва,Москва,ВАО,Метрогородок,ЖК Квартал Метроном,Брусника,https://t.me/JKMetronomChat,https://t.me/JKMetronomChat,Москва чаты,Москва чаты:190,main,high,,zhk-kvartal-metronom,brusnika,moskva,moskva,metrogorodok
Брусника,Москва,Москва,Москва,СВАО,Бутырский,"ЖК Квартал ""МОНС""",Брусника,https://t.me/JKKVMons,https://t.me/JKKVMons,Москва чаты,Москва чаты:250,main,medium,,zhk-kvartal-mons,brusnika,moskva,moskva,butyrskiy
Брусника,Москва,Москва,Москва,ЮАО,Даниловский,ЖК Дом А,Брусника,https://t.me/JKDomAS,https://t.me/JKDomAS,Москва чаты,Москва чаты:257,main,high,,zhk-dom-a,brusnika,moskva,moskva,danilovskiy
Брусника,Москва,Москва,Москва,ЮВАО,Нижегородский,ЖК Квартал Издание,Брусника,https://t.me/JKKvartalIzdanieSob,https://t.me/JKKvartalIzdanieSob,Москва чаты,Москва чаты:248,main,high,,zhk-kvartal-izdanie,brusnika,moskva,moskva,nizhegorodskiy
Брусника,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Авиатор,Брусника,https://t.me/JKAviatorNovosib,https://t.me/JKAviatorNovosib,Новосибирск чаты,Новосибирск чаты:70,main,high,,zhk-aviator,brusnika,novosibirskaya-oblast,novosibirsk,
Брусника,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Европейский берег,Брусника,https://t.me/JKEvroBer,https://t.me/JKEvroBer,Новосибирск чаты,Новосибирск чаты:97,main,high,,zhk-evropeyskiy-bereg,brusnika,novosibirskaya-oblast,novosibirsk,
Брусника,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Мылзавод,Брусника,https://t.me/JKmilzavod,https://t.me/JKmilzavod,Новосибирск чаты,Новосибирск чаты:105,main,high,,zhk-mylzavod,brusnika,novosibirskaya-oblast,novosibirsk,
Брусника,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК На Декабристов,Брусника,https://t.me/JKNaDekabbristovJiltsi,https://t.me/JKNaDekabbristovJiltsi,Новосибирск чаты,Новосибирск чаты:37,main,high,,zhk-na-dekabristov,brusnika,novosibirskaya-oblast,novosibirsk,
ВИРА,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Горизонт,ВИРА,https://t.me/JKGorizontJiltsi,https://t.me/JKGorizontJiltsi,Новосибирск чаты,Новосибирск чаты:2,main,high,,zhk-gorizont,vira,novosibirskaya-oblast,novosibirsk,
ВИРА,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Луна,ВИРА,https://t.me/JKLunaJiltsi,https://t.me/JKLunaJiltsi,Новосибирск чаты,Новосибирск чаты:13,main,high,,zhk-luna,vira,novosibirskaya-oblast,novosibirsk,
ВИРА,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Матрешкин двор,ВИРА,https://t.me/JKMatreshkindvorJiltsi,https://t.me/JKMatreshkindvorJiltsi,Новосибирск чаты,Новосибирск чаты:14,main,high,,zhk-matreshkin-dvor,vira,novosibirskaya-oblast,novosibirsk,
ВИРА,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Сподвижники,ВИРА,https://t.me/JKspodvijnikiJiltsi,https://t.me/JKspodvijnikiJiltsi,Новосибирск чаты,Новосибирск чаты:60,main,high,,zhk-spodvizhniki,vira,novosibirskaya-oblast,novosibirsk,
ВИРА,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Цитатум,ВИРА,https://t.me/JKCitatum,https://t.me/JKCitatum,Новосибирск чаты,Новосибирск чаты:87,main,high,,zhk-tsitatum,vira,novosibirskaya-oblast,novosibirsk,
ВИТА,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Рождественский квартал""",ВИТА,https://t.me/JKRojdestvensiykvartalSosedi,https://t.me/JKRojdestvensiykvartalSosedi,Питер чаты,Питер чаты:54,main,high,,zhk-rozhdestvenskiy-kvartal,vita,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
ВКД,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК МАКИ,ВКД,https://t.me/JKMAKIJiltsi,https://t.me/JKMAKIJiltsi,Новосибирск чаты,Новосибирск чаты:23,main,high,,zhk-maki,vkd,novosibirskaya-oblast,novosibirsk,
ВнешОптоТорг,Другой город/регион,Краснодарский край,Сочи,,,ЖК Южное море,ВнешОптоТорг,https://t.me/JKYujnoemoreSosedi2,https://t.me/JKYujnoemoreSosedi2,Сочи чаты,Сочи чаты:12,main,high,,zhk-yuzhnoe-more,vneshoptotorg,krasnodarskiy-kray,sochi,
Восток 314,Другой город/регион,Краснодарский край,Сочи,,,ЖК Монреаль Парк,Восток 314,https://t.me/JKMonrealParkSosedi2,https://t.me/JKMonrealParkSosedi2,Сочи чаты,Сочи чаты:15,main,high,,zhk-monreal-park,vostok-314,krasnodarskiy-kray,sochi,
Выбор-Столица,Москва,Москва,Москва,ЮЗАО,Академический,ЖК Академик,Выбор-Столица,https://t.me/JKAkademikTroick,https://t.me/JKAkademikTroick,Москва чаты,Москва чаты:174,main,medium,,zhk-akademik,vybor-stolitsa,moskva,moskva,akademicheskiy
Галс-Девелопмент,Москва,Москва,Москва,ЦАО,Басманный,ЖК Дом 56,Галс-Девелопмент,https://t.me/JKDom56Sobstvenniki,https://t.me/JKDom56Sobstvenniki,Москва чаты,Москва чаты:224,main,medium,,zhk-dom-56,gals-development,moskva,moskva,basmannyy
Галс-Девелопмент,Московская область,Московская область,Одинцовский г.о.,,,ЖК Маслово,Галс-Девелопмент,https://t.me/ZKMaslovoChatSobstvennikv,https://t.me/ZKMaslovoChatSobstvennikv,Москва чаты,Москва чаты:104,main,medium,,zhk-maslovo,gals-development,moskovskaya-oblast,odintsovskiy-g-o,
Главстрой,Москва,Москва,Москва,ЗАО,Филёвский Парк,ЖК Береговой-2,Главстрой,https://t.me/JKBeregovoi2,https://t.me/JKBeregovoi2,Москва чаты,Москва чаты:54,main,high,,zhk-beregovoy-2,glavstroi,moskva,moskva,filevskiy-park
Главстрой,Москва,Москва,Москва,ЮЗАО,Академический,ЖК Новые Академики,Главстрой,https://t.me/jkNoviyeAkademiki,https://t.me/jkNoviyeAkademiki,Москва чаты,Москва чаты:262,main,medium,,zhk-novye-akademiki,glavstroi,moskva,moskva,akademicheskiy
ГрадРиэлт,Другой город/регион,Краснодарский край,Сочи,,,ЖК Тюльпановка,ГрадРиэлт,https://t.me/JKTulpanovkaSosedi2,https://t.me/JKTulpanovkaSosedi2,Сочи чаты,Сочи чаты:10,main,high,,zhk-tyulpanovka,gradrielt,krasnodarskiy-kray,sochi,
Гранель,Москва,Москва,Москва,САО,Западное Дегунино,Тринити-2,Гранель,https://t.me/JKTriniti2Sobstvenniki,https://t.me/JKTriniti2Sobstvenniki,Москва чаты,Москва чаты:3,main,high,,triniti-2,granel,moskva,moskva,zapadnoe-degunino
Гранель,Москва,Москва,Москва,СЗАО,Хорошёво-Мнёвники,ЖК MYPRIORITY Мнёвники,Гранель,https://t.me/JKMYpriorMan,https://t.me/JKMYpriorMan,Москва чаты,Москва чаты:266,main,high,,zhk-mypriority-mnevniki,granel,moskva,moskva,horoshevo-mnevniki
Гранель,Москва,Москва,Москва,ЦАО,Басманный,ЖК MYPRIORITY Басманный,Гранель,https://t.me/ZhKMYPRIORITYBasmannyySosedi,https://t.me/ZhKMYPRIORITYBasmannyySosedi,Москва чаты,Москва чаты:14; Москва чаты:19,main,high,,zhk-mypriority-basmannyy,granel,moskva,moskva,basmannyy
Гранель,Москва,Москва,Москва,ЮАО,Даниловский,ЖК MYPRIORITY PAVELETSKAYA,Гранель,https://t.me/JKMPChat,https://t.me/JKMPChat,Москва чаты,Москва чаты:215,main,high,,zhk-mypriority-paveletskaya,granel,moskva,moskva,danilovskiy
Гранель,Москва,Москва,Москва,ЮАО,Нагатино-Садовники,ЖК BELUCK Коломенское,Гранель,https://t.me/JKBELUCKKolomenskoeSob,https://t.me/JKBELUCKKolomenskoeSob,Москва чаты,Москва чаты:245,main,medium,,zhk-beluck-kolomenskoe,granel,moskva,moskva,nagatino-sadovniki
Гранель,Москва,Москва,Москва,ЮВАО,Южнопортовый,ЖК MYPRIORITY Dubrovka,Гранель,https://t.me/JKMYPRIORITYDubrovka,https://t.me/JKMYPRIORITYDubrovka,"Москва чаты, Сдача по чатам",Москва чаты:29; Сдача по чатам:15,"delivery, main",high,,zhk-mypriority-dubrovka,granel,moskva,moskva,yuzhnoportovyy
Гранель,Московская область,Московская область,Красногорск,,,ЖК Аникеевский,Гранель,https://t.me/SobstvennikiAnikeevskiy,https://t.me/SobstvennikiAnikeevskiy,"Москва чаты, Сдача по чатам",Москва чаты:44; Сдача по чатам:29,"delivery, main",high,,zhk-anikeevskiy,granel,moskovskaya-oblast,krasnogorsk,
Гранель,Московская область,Московская область,Красногорск,,,ЖК Ильинойс,Гранель,https://t.me/JKIlinoiys,https://t.me/JKIlinoiys,Москва чаты,Москва чаты:122,main,high,,zhk-ilinoys,granel,moskovskaya-oblast,krasnogorsk,
Гранель,Московская область,Московская область,Одинцовский г.о.,,Новоивановское,ЖК Инновация,Гранель,https://t.me/JKInnovaciya,https://t.me/JKInnovaciya,Москва чаты,Москва чаты:39,main,high,,zhk-innovatsiya,granel,moskovskaya-oblast,odintsovskiy-g-o,novoivanovskoe
Группа Мета,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Пульсар,Группа Мета,https://t.me/JKPulsarJ,https://t.me/JKPulsarJ,Новосибирск чаты,Новосибирск чаты:80,main,high,,zhk-pulsar,gruppa-meta,novosibirskaya-oblast,novosibirsk,
Группа Мета,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Ясный берег,Группа Мета,https://t.me/JKYasniyBereg,https://t.me/JKYasniyBereg,Новосибирск чаты,Новосибирск чаты:115,main,high,,zhk-yasnyy-bereg,gruppa-meta,novosibirskaya-oblast,novosibirsk,
ДОМ,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Автограф,ДОМ,https://t.me/JKAftograf,https://t.me/JKAftograf,Новосибирск чаты,Новосибирск чаты:110,main,high,,zhk-avtograf,dom,novosibirskaya-oblast,novosibirsk,
ДОНСТРОЙ,Москва,Москва,Москва,СЗАО,Хорошёво-Мнёвники,ЖК ОСТРОВ,ДОНСТРОЙ,https://t.me/ZhKOSTROVSosedi,https://t.me/ZhKOSTROVSosedi,Москва чаты,Москва чаты:86,main,high,,zhk-ostrov,donstroi,moskva,moskva,horoshevo-mnevniki
ДОНСТРОЙ,Москва,Москва,Москва,ЦАО,Замоскворечье,ЖК Татарская 35,ДОНСТРОЙ,https://t.me/JKTatarskaya35S,https://t.me/JKTatarskaya35S,Москва чаты,Москва чаты:264,main,high,,zhk-tatarskaya-35,donstroi,moskva,moskva,zamoskvoreche
ДОНСТРОЙ,Москва,Москва,Москва,ЦАО,Хамовники,ЖК Дом XXII,ДОНСТРОЙ,https://t.me/JKXXIIsob,https://t.me/JKXXIIsob,Москва чаты,Москва чаты:213,main,high,,zhk-dom-xxii,donstroi,moskva,moskva,hamovniki
ДОНСТРОЙ,Москва,Москва,Москва,ЮВАО,Лефортово,ЖК СИМВОЛ,ДОНСТРОЙ,https://t.me/ZhKSIMVOLSosediJK,https://t.me/ZhKSIMVOLSosediJK,Москва чаты,Москва чаты:73,main,high,,zhk-simvol,donstroi,moskva,moskva,lefortovo
ДОХОДНЫЙ ДОМ,Москва,Москва,Москва,ЗАО,Очаково-Матвеевское,ЖК ОМ,ДОХОДНЫЙ ДОМ,https://t.me/ZhKOMSosedi1,https://t.me/ZhKOMSosedi1,Москва чаты,Москва чаты:145,main,high,,zhk-om,dokhodnyi-dom,moskva,moskva,ochakovo-matveevskoe
Дальпитерстрой,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Алексеевский квартал""",Дальпитерстрой,https://t.me/JKAlekseevskiyKV,https://t.me/JKAlekseevskiyKV,Питер чаты,Питер чаты:107,main,high,,zhk-alekseevskiy-kvartal,dal-piterstroi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Дивногорский,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Дивногорский 2.0,Дивногорский,https://t.me/JKDivnogorskiy2_0Jiltsi,https://t.me/JKDivnogorskiy2_0Jiltsi,Новосибирск чаты,Новосибирск чаты:52,main,high,,zhk-divnogorskiy-2-0,divnogorskii,novosibirskaya-oblast,novosibirsk,
Дом Солнца,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Виноград,Дом Солнца,https://t.me/JKVinogradJiltsi,https://t.me/JKVinogradJiltsi,Новосибирск чаты,Новосибирск чаты:24,main,high,,zhk-vinograd,dom-solntsa,novosibirskaya-oblast,novosibirsk,
Дом Солнца,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Ежевика,Дом Солнца,https://t.me/JKEjevikaJiltsi,https://t.me/JKEjevikaJiltsi,Новосибирск чаты,Новосибирск чаты:4,main,high,,zhk-ezhevika,dom-solntsa,novosibirskaya-oblast,novosibirsk,
Дом на Королева,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК На Королева,Дом на Королева,https://t.me/JKNaKorolevaJiltsi,https://t.me/JKNaKorolevaJiltsi,Новосибирск чаты,Новосибирск чаты:65,main,high,,zhk-na-koroleva,dom-na-koroleva,novosibirskaya-oblast,novosibirsk,
Дом-Строй,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК  Горская Лагуна,Дом-Строй,https://t.me/JKGorskayaLaguna,https://t.me/JKGorskayaLaguna,Новосибирск чаты,Новосибирск чаты:118,main,high,,zhk-gorskaya-laguna,dom-stroi,novosibirskaya-oblast,novosibirsk,
Евроинвест Девелопмент,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""ID Murino II""",Евроинвест Девелопмент,https://t.me/JKIDMurino2Sosedi,https://t.me/JKIDMurino2Sosedi,Питер чаты,Питер чаты:70,main,high,,zhk-id-murino-ii,evroinvest-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Евроинвест Девелопмент,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""ID Кудрово""",Евроинвест Девелопмент,https://t.me/JKIDKudrovoSosedi,https://t.me/JKIDKudrovoSosedi,Питер чаты,Питер чаты:129,main,high,,zhk-id-kudrovo,evroinvest-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Евроинвест Девелопмент,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""iD Svetlanovskiy""",Евроинвест Девелопмент,https://t.me/JKiDSvetlanovskiySosedi,https://t.me/JKiDSvetlanovskiySosedi,Питер чаты,Питер чаты:49,main,high,,zhk-id-svetlanovskiy,evroinvest-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Замберг,Москва,Москва,Москва,ЗАО,Тропарёво-Никулино,ЖК Citimix (Ситимикс),Замберг,https://t.me/JKCitimix,https://t.me/JKCitimix,Москва чаты,Москва чаты:150,main,high,,zhk-citimix-sitimiks,zamberg,moskva,moskva,troparevo-nikulino
Запстрой,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Ново-Антропшино""",Запстрой,https://t.me/JKNovoAntropshinoSosedi,https://t.me/JKNovoAntropshinoSosedi,Питер чаты,Питер чаты:84,main,high,,zhk-novo-antropshino,zapstroi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
ИНГЕОЦЕНТР,Москва,Москва,Москва,ЦАО,Тверской,ЖК Камергер,ИНГЕОЦЕНТР,https://t.me/JKKKamergersob,https://t.me/JKKKamergersob,Москва чаты,Москва чаты:228,main,high,,zhk-kamerger,ingeotsentr,moskva,moskva,tverskoy
Имеретинские Высоты,Другой город/регион,Краснодарский край,Сочи,,,"ЖК МФК ""Имеретинские высоты""",Имеретинские Высоты,https://t.me/JKImperatorskievisotiSosedi2,https://t.me/JKImperatorskievisotiSosedi2,Сочи чаты,Сочи чаты:13,main,high,,zhk-mfk-imeretinskie-vysoty,imeretinskie-vysoty,krasnodarskiy-kray,sochi,
Инвест Групп,Московская область,Московская область,Мытищи,,,ЖК КИТ 2,Инвест Групп,https://t.me/JKKit2,https://t.me/JKKit2,Москва чаты,Москва чаты:136,main,high,,zhk-kit-2,invest-grupp,moskovskaya-oblast,mytischi,
ИнвестСити,Московская область,Московская область,Ленинский г.о.,,Развилка,ЖК Три Квартала,ИнвестСити,https://t.me/jkTriKvartalaChatSobstvennikov,https://t.me/jkTriKvartalaChatSobstvennikov,Москва чаты,Москва чаты:32,main,high,,zhk-tri-kvartala,investsiti,moskovskaya-oblast,leninskiy-g-o,razvilka
ИнтерГрупп,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Квартал Заречье""",ИнтерГрупп,https://t.me/JKKvartZarech,https://t.me/JKKvartZarech,Питер чаты,Питер чаты:112,main,high,,zhk-kvartal-zareche,intergrupp,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
КАМЕЯ,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Рубин,КАМЕЯ,https://t.me/JKRubinJiltsi,https://t.me/JKRubinJiltsi,Новосибирск чаты,Новосибирск чаты:35,main,high,,zhk-rubin,kameia,novosibirskaya-oblast,novosibirsk,
КВС,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Б15""",КВС,https://t.me/JkB15S,https://t.me/JkB15S,Питер чаты,Питер чаты:95,main,high,,zhk-b15,kvs,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
КВС,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Дубровский""",КВС,https://t.me/JKDubrovskiSosedi,https://t.me/JKDubrovskiSosedi,Питер чаты,Питер чаты:38,main,high,,zhk-dubrovskiy,kvs,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
КВС,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Ясно.Янино""",КВС,https://t.me/JKYasnoYaninoSosedi,https://t.me/JKYasnoYaninoSosedi,Питер чаты,Питер чаты:25,main,high,,zhk-yasno-yanino,kvs,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
КВС,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Любоград,КВС,https://t.me/JKLubogradSosedi,https://t.me/JKLubogradSosedi,Питер чаты,Питер чаты:12,main,high,,zhk-lyubograd,kvs,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
КВС,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК ЮгТаун. Олимпийские кварталы,КВС,https://t.me/JKUgTownSosedi,t.me/JKUgTownSosedi,Питер чаты,Питер чаты:14,main,high,,zhk-yugtaun-olimpiyskie-kvartaly,kvs,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
КМС,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК KLUBNIKA Марусино,КМС,https://t.me/JKKLUBNIKAMarusinoJiltsi,https://t.me/JKKLUBNIKAMarusinoJiltsi,Новосибирск чаты,Новосибирск чаты:34,main,high,,zhk-klubnika-marusino,kms,novosibirskaya-oblast,novosibirsk,
КОРОНА,Другой город/регион,Краснодарский край,Сочи,,,ЖК Южный Парк,КОРОНА,https://t.me/JKYujniParkSosedi2,https://t.me/JKYujniParkSosedi2,Сочи чаты,Сочи чаты:4,main,high,,zhk-yuzhnyy-park,korona,krasnodarskiy-kray,sochi,
КОРТРОС,Москва,Москва,Москва,СВАО,Марьина Роща,ЖК TATE,КОРТРОС,https://t.me/JKTATEChat,https://t.me/JKTATEChat,Москва чаты,Москва чаты:235,main,medium,,zhk-tate,kortros,moskva,moskva,marina-roscha
КОРТРОС,Москва,Москва,Москва,СВАО,Останкинский,ЖК I LOVE,КОРТРОС,https://t.me/ZhKILOVESosedi,https://t.me/ZhKILOVESosedi,Москва чаты,Москва чаты:92; Москва чаты:273,main,high,,zhk-i-love,kortros,moskva,moskva,ostankinskiy
КОРТРОС,Другой город/регион,Свердловская область,Екатеринбург,,,Первый Академ,КОРТРОС,https://t.me/JKPerviAkadem,https://t.me/JKPerviAkadem,Екатеринбург чаты,Екатеринбург чаты:2,main,high,,pervyy-akadem,kortros,sverdlovskaya-oblast,ekaterinburg,
